Source,Target
narendramodi,gaprithvi
narendramodi,MamataOfficial
narendramodi,Kumar_VinodR
narendramodi,DilipGhoshBJP
narendramodi,BJP4Assam
narendramodi,himantabiswa
narendramodi,bjpdrmahendra
narendramodi,vishy64theking
narendramodi,Kummanam
narendramodi,PankajAdvani247
narendramodi,RoyalFamily
narendramodi,JustinTrudeau
narendramodi,AkashvaniAIR
narendramodi,HHShkMohd
narendramodi,MohamedBinZayed
narendramodi,PMOIndia
narendramodi,thetribunechd
narendramodi,therealkapildev
narendramodi,PPBhaishri
narendramodi,dravirmani
narendramodi,CimGOI
narendramodi,APanagariya
narendramodi,sureshpprabhu
narendramodi,dreamgirlhema
narendramodi,iam_juhi
narendramodi,UNGeneva
narendramodi,UN_Spokesperson
narendramodi,USAmbIndia
narendramodi,AskAnshul
narendramodi,UnSubtleDesi
narendramodi,MukulKMishra
narendramodi,MahaveerM_
narendramodi,DrManishKumar1
narendramodi,JainBhaiyya
narendramodi,Purple_Truth
narendramodi,DelhiTweeter
narendramodi,SwarupPhD
narendramodi,bhak_sala
narendramodi,nagesh_r_rao
narendramodi,NamokaJogi
narendramodi,NamoChaiParty
narendramodi,sanjoynarayan
narendramodi,RajanAnandan
narendramodi,DataPortalIndia
narendramodi,HemanNamo
narendramodi,melindagates
narendramodi,jayantsinha
narendramodi,SpokespersonMoD
narendramodi,eoiberlin
narendramodi,IndianEmbKabul
narendramodi,HCI_London
narendramodi,Indian_Embassy
narendramodi,IndianEmbassyUS
narendramodi,HMOIndia
narendramodi,RailMinIndia
narendramodi,MoHFW_INDIA
narendramodi,MOSHomeIndia
narendramodi,mygovindia
narendramodi,DDNewsHindi
narendramodi,DDNational
narendramodi,TexMinIndia
narendramodi,makeinindia
narendramodi,k_satyarthi
narendramodi,ncbn
narendramodi,EduMinOfIndia
narendramodi,MORTHIndia
narendramodi,MVenkaiahNaidu
narendramodi,_DigitalIndia
narendramodi,SuPriyoBabul
narendramodi,DVSadanandGowda
narendramodi,DIPPGOI
narendramodi,ChhattisgarhCMO
narendramodi,manojsinha_
narendramodi,TheOfficialSBI
narendramodi,hci_pretoria
narendramodi,IndiainMyanmar
narendramodi,ihcdhaka
narendramodi,IndEmbDoha
narendramodi,IndianEmbassyML
narendramodi,CGIPerth
narendramodi,IndiaInNepal
narendramodi,indembcam
narendramodi,IndiainSingapor
narendramodi,indembcairo
narendramodi,indembastana
narendramodi,IndiainMongolia
narendramodi,IndiainPakistan
narendramodi,ashrafghani
narendramodi,NSDCINDIA
narendramodi,PetroleumMin
narendramodi,sarbanandsonwal
narendramodi,JPNadda
narendramodi,irvpaswan
narendramodi,MOFPI_GOI
